cod;nm_categoria;de_categoria
P27;P27   Doenc respirat cron orig periodo perinatal;Doença respiratória crônica originada no período perinatal
P28;P28   Outr afeccoes respirat orig per perinatal;Outras afecções respiratórias originadas no período perinatal
P29;P29   Transt cardiovasc orig periodo perinatal;Transtornos cardiovasculares originados no período perinatal
P35;P35   Doenc virais congen;Doenças virais congênitas
P36;P36   Septicemia bacter do recem-nascido;Septicemia bacteriana do recém-nascido
P37;P37   Outr doenc infecc e parasit congen;Outras doenças infecciosas e parasitárias congênitas
P38;P38   Onfalite recem-nasc c/ou s/hemorragia leve;Onfalite do recém-nascido com ou sem hemorragia leve
P39;P39   Outr infecc especificas do periodo perinatal;Outras infecções específicas do período perinatal
P50;P50   Perda sanguinea fetal;Perda sangüínea fetal
P51;P51   Hemorragia umbilical do recem-nascido;Hemorragia umbilical do recém-nascido
P52;P52   Hemorragia intracran nao-traum feto rec-nasc;Hemorragia intracraniana não-traumática do feto e do recém-nascido
P53;P53   Doenc hemorragica do feto e do recem-nascido;Doença hemorrágica do feto e do recém-nascido
P54;P54   Outr hemorragias neonatais;Outras hemorragias neonatais
P55;P55   Doenc hemolitica do feto e do recem-nascido;Doença hemolítica do feto e do recém-nascido
P56;P56   Hidropsia fetal dev doenc hemolitica;Hidropsia fetal devida a doença hemolítica
P57;P57   Kernicterus;Kernicterus
P58;P58   Ictericia neonatal dev outr hemolises excess;Icterícia neonatal devida a outras hemólises excessivas
P59;P59   Ictericia neonatal dev outr causas e as NE;Icterícia neonatal devida a outras causas e às não especificadas
P60;P60   Coagulacao intravasc dissem feto rec-nasc;Coagulação intravascular disseminada do feto e do recém-nascido
P61;P61   Outr transt hematologicos perinatais;Outros transtornos hematológicos perinatais
P70;P70   Trans transit metab carboid esp fet rec-nasc;Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido
P71;P71   Transt transit metab calcio magn per neonat;Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal
P72;P72   Outr transt endocrinos transit period neonat;Outros transtornos endócrinos transitórios do período neonatal
P74;P74   Outr dist eletrolit metab transit per neonat;Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal
P75;P75   Ileo meconial;Íleo meconial
P76;P76   Outr obstrucoes intestinais do recem-nascido;Outras obstruções intestinais do recém-nascido
P77;P77   Enterocolite necrotizante do feto e rec-nasc;Enterocolite necrotizante do feto e do recém-nascido
P78;P78   Outr transt ap digestivo periodo perinatal;Outros transtornos do aparelho digestivo do período perinatal
P80;P80   Hipotermia do recem-nascido;Hipotermia do recém-nascido
P81;P81   Outr disturbios regulacao termica rec-nasc;Outros distúrbios da regulação térmica do recém-nascido
P83;P83   Outr afecc compr tegum espec feto rec-nasc;Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido
P90;P90   Convulsoes do recem-nascido;Convulsões do recém-nascido
P91;P91   Outr disturbios funcao cerebral rec-nasc;Outros distúrbios da função cerebral do recém-nascido
P92;P92   Problemas de alimentacao do recem-nascido;Problemas de alimentação do recém-nascido
P93;P93   Reacoes e intox dev drog admin feto rec-nasc;Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido
P94;P94   Transt do tonus muscular do recem-nascido;Transtornos do tônus muscular do recém-nascido
P95;P95   Morte fetal de causa NE;Morte fetal de causa não especificada
P96;P96   Outr afeccoes originadas periodo perinatal;Outras afecções originadas no período perinatal
Q00;Q00   Anencefalia e malformacoes similares;Anencefalia e malformações similares
Q01;Q01   Encefalocele;Encefalocele
Q02;Q02   Microcefalia;Microcefalia
Q03;Q03   Hidrocefalia congen;Hidrocefalia congênita
Q04;Q04   Outr malformacoes congen do cerebro;Outras malformações congênitas do cérebro
Q05;Q05   Espinha bifida;Espinha bífida
Q06;Q06   Outr malformacoes congen da medula espinhal;Outras malformações congênitas da medula espinhal
Q07;Q07   Outr malformacoes congen do sist nervoso;Outras malformações congênitas do sistema nervoso
Q10;Q10   Malform congen palpebras ap lacrimal orbita;Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita
Q11;Q11   Anoftalmia microftalmia e macroftalmia;Anoftalmia, microftalmia e macroftalmia
Q12;Q12   Malformacoes congen do cristalino;Malformações congênitas do cristalino
Q13;Q13   Malformacoes congen camara anterior do olho;Malformações congênitas da câmara anterior do olho
Q14;Q14   Malformacoes congen camara posterior do olho;Malformações congênitas da câmara posterior do olho
Q15;Q15   Outr malformacoes congen do olho;Outras malformações congênitas do olho
Q16;Q16   Malform congen ouvido caus compr audicao;Malformações congênitas do ouvido causando comprometimento da audição
Q17;Q17   Outr malformacoes congen da orelha;Outras malformações congênitas da orelha
Q18;Q18   Outr malformacoes congen da face e pescoco;Outras malformações congênitas da face e do pescoço
Q20;Q20   Malform congen camaras e comunicacoes card;Malformações congênitas das câmaras e das comunicações cardíacas
Q21;Q21   Malformacoes congen dos septos cardiacos;Malformações congênitas dos septos cardíacos
Q22;Q22   Malform congen valvas pulmonar tricuspide;Malformações congênitas das valvas pulmonar e tricúspide
Q23;Q23   Malformacoes congen valvas aortica e mitral;Malformações congênitas das valvas aórtica e mitral
Q24;Q24   Outr malformacoes congen do coracao;Outras malformações congênitas do coração
Q25;Q25   Malformacoes congen das grandes arterias;Malformações congênitas das grandes artérias
Q26;Q26   Malformacoes congen das grandes veias;Malformações congênitas das grandes veias
Q27;Q27   Outr malformacoes congen sist vasc perif;Outras malformações congênitas do sistema vascular periférico
Q28;Q28   Outr malform congen aparelho circulatorio;Outras malformações congênitas do aparelho circulatório
Q30;Q30   Malformacao congen do nariz;Malformação congênita do nariz
Q31;Q31   Malformacoes congen da laringe;Malformações congênitas da laringe
Q32;Q32   Malformacoes congen traqueia e bronquios;Malformações congênitas da traquéia e dos brônquios
Q33;Q33   Malformacoes congen do pulmao;Malformações congênitas do pulmão
Q34;Q34   Outr malformacoes congen aparelho respirat;Outras malformações congênitas do aparelho respiratório
Q35;Q35   Fenda palatina;Fenda palatina
Q36;Q36   Fenda labial;Fenda labial
Q37;Q37   Fenda labial c/fenda palatina;Fenda labial com fenda palatina
Q38;Q38   Outr malform congen lingua boca e faringe;Outras malformações congênitas da língua, da boca e da faringe
Q39;Q39   Malformacoes congen do esofago;Malformações congênitas do esôfago
Q40;Q40   Outr malform congen trato digestivo super;Outras malformações congênitas do trato digestivo superior
Q41;Q41   Ausencia atresia estenose congen intest delg;Ausência, atresia e estenose congênita do intestino delgado
Q42;Q42   Ausencia atresia e estenose congen do colon;Ausência, atresia e estenose congênita do cólon
Q43;Q43   Outr malformacoes congen do intestino;Outras malformações congênitas do intestino
Q44;Q44   Malform congen vesic biliar via biliar figad;Malformações congênitas da vesícula biliar, das vias biliares e do fígado
Q45;Q45   Outr malformacoes congen aparelho digestivo;Outras malformações congênitas do aparelho digestivo
Q50;Q50   Malform cong ovario tromp Falopio lig largos;Malformações congênitas dos ovários, das trompas de Falópio e dos ligamentos largos
Q51;Q51   Malformacoes congen utero e do colo do utero;Malformações congênitas do útero e do colo do útero
Q52;Q52   Outr malformacoes congen org genitais femin;Outras malformações congênitas dos órgãos genitais femininos
Q53;Q53   Testiculo nao-descido;Testículo não-descido
Q54;Q54   Hipospadias;Hipospádias
Q55;Q55   Outr malformacoes congen org genitais masc;Outras malformações congênitas dos órgãos genitais masculinos
Q56;Q56   Sexo indeterminado e pseudo-hermafroditismo;Sexo indeterminado e pseudo-hermafroditismo
Q60;Q60   Agenesia renal e outr defeitos reducao rim;Agenesia renal e outros defeitos de redução do rim
Q61;Q61   Doenc cisticas do rim;Doenças císticas do rim
Q62;Q62   Anom cong obstr pelv renal malf cong ureter;Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter
Q63;Q63   Outr malformacoes congen do rim;Outras malformações congênitas do rim
Q64;Q64   Outr malformacoes congen aparelho urinario;Outras malformações congênitas do aparelho urinário
Q65;Q65   Malformacoes congen do quadril;Malformações congênitas do quadril
Q66;Q66   Deform congen do pe;Deformidades congênitas do pé
Q67;Q67   Deform osteom cong cabeca face coluna torax;Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax
Q68;Q68   Outr deform osteomusculares congen;Outras deformidades osteomusculares congênitas
Q69;Q69   Polidactilia;Polidactilia
Q70;Q70   Sindactilia;Sindactilia
Q71;Q71   Defeitos p/reducao do membro super;Defeitos, por redução, do membro superior
Q72;Q72   Defeitos p/reducao do membro infer;Defeitos, por redução, do membro inferior
Q73;Q73   Defeitos p/reducao de membro NE;Defeitos por redução de membro não especificado
Q74;Q74   Outr malformacoes congen dos membros;Outras malformações congênitas dos membros
Q75;Q75   Outr malformacoes congen ossos cranio e face;Outras malformações congênitas dos ossos do crânio e da face
Q76;Q76   Malform congen coluna vertebral ossos torax;Malformações congênitas da coluna vertebral e dos ossos do tórax
Q77;Q77   Osteocondr c/anom cresc ossos long col vert;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral
Q78;Q78   Outr osteocondrodisplasias;Outras osteocondrodisplasias
Q79;Q79   Malformacoes congen sist osteomuscular NCOP;Malformações congênitas do sistema osteomuscular não classificadas em outra parte
Q80;Q80   Ictiose congen;Ictiose congênita
Q81;Q81   Epidermolise bolhosa;Epidermólise bolhosa
Q82;Q82   Outr malformacoes congen da pele;Outras malformações congênitas da pele
Q83;Q83   Malformacoes congen da mama;Malformações congênitas da mama
Q84;Q84   Outr malformacoes congen do tegumento;Outras malformações congênitas do tegumento
Q85;Q85   Facomatoses NCOP;Facomatoses não classificadas em outra parte
Q86;Q86   Sindr c/malf cong dev causas exog conh NCOP;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte
Q87;Q87   Outr sindr c/malform cong q acomet mult sist;Outras síndromes com malformações congênitas que acometem múltiplos sistemas
Q89;Q89   Outr malformacoes congen NCOP;Outras malformações congênitas não classificadas em outra parte
Q90;Q90   Sindr de Down;Síndrome de Down
Q91;Q91   Sindr de Edwards e sindr de Patau;Síndrome de Edwards e síndrome de Patau
Q92;Q92   Outr trissomias e trissom parc autoss NCOP;Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte
Q93;Q93   Monossomias e delecoes dos autossomos NCOP;Monossomias e deleções dos autossomos, não classificadas em outra parte
Q95;Q95   Rearranjos equilibr e marcadores estrut NCOP;Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte
Q96;Q96   Sindr de Turner;Síndrome de Turner
Q97;Q97   Outr anom cromoss sexuais fenotipo fem NCOP;Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte
Q98;Q98   Outr anom cromoss sexuais fenotipo masc NCOP;Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte
Q99;Q99   Outr anomalias dos cromossomos NCOP;Outras anomalias dos cromossomos, não classificadas em outra parte
R00;R00   Anormalidades do batimento cardiaco;Anormalidades do batimento cardíaco
R01;R01   Sopros e outr ruidos cardiacos;Sopros e outros ruídos cardíacos
R02;R02   Gangrena NCOP;Gangrena não classificada em outra parte
R03;R03   Valor anormal pressao arterial s/diagn;Valor anormal da pressão arterial sem diagnóstico
R04;R04   Hemorragia das vias respirat;Hemorragia das vias respiratórias
R05;R05   Tosse;Tosse
R06;R06   Anormalidades da respiracao;Anormalidades da respiração
R07;R07   Dor de garganta e no peito;Dor de garganta e no peito
R09;R09   Outr sint sinais relat ap circulat respirat;Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório
R10;R10   Dor abdominal e pelvica;Dor abdominal e pélvica
R11;R11   Nausea e vomitos;Náusea e vômitos
R12;R12   Pirose;Pirose
R13;R13   Disfagia;Disfagia
R14;R14   Flatulencia e afeccoes correlatas;Flatulência e afecções correlatas
R15;R15   Incontinencia fecal;Incontinência fecal
R16;R16   Hepatomegalia e esplenomegalia NCOP;Hepatomegalia e esplenomegalia não classificadas em outra parte
R17;R17   Ictericia NE;Icterícia não especificada
R18;R18   Ascite;Ascite
R19;R19   Outr sint e sinais relat ap digest abdome;Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome
R20;R20   Disturbios da sensibilidade cutanea;Distúrbios da sensibilidade cutânea
R21;R21   Eritema e outr erupcoes cutaneas NE;Eritema e outras erupções cutâneas não especificadas
R22;R22   Tumefac massa tumoracao loc pele tec subcut;Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo
R23;R23   Outr alteracoes cutaneas;Outras alterações cutâneas
R25;R25   Movimentos involuntarios anormais;Movimentos involuntários anormais
R26;R26   Anormalidades da marcha e da mobilidade;Anormalidades da marcha e da mobilidade
R27;R27   Outr disturbios da coordenacao;Outros distúrbios da coordenação
R29;R29   Outr sint sinais relat sist nerv osteomusc;Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular
R30;R30   Dor assoc a miccao;Dor associada à micção
R31;R31   Hematuria NE;Hematúria não especificada
R32;R32   Incontinencia urinaria NE;Incontinência urinária não especificada
R33;R33   Retencao urinaria;Retenção urinária
R34;R34   Anuria e oliguria;Anúria e oligúria
R35;R35   Poliuria;Poliúria
R36;R36   Secrecao uretral;Secreção uretral
R39;R39   Outr sint e sinais relativos ap urinario;Outros sintomas e sinais relativos ao aparelho urinário
R40;R40   Sonolencia estupor e coma;Sonolência, estupor e coma
R41;R41   Outr sint sinais relat func cognit e consc;Outros sintomas e sinais relativos à função cognitiva e à consciência
R42;R42   Tontura e instabilidade;Tontura e instabilidade
R43;R43   Disturbios do olfato e do paladar;Distúrbios do olfato e do paladar
R44;R44   Outr sint sinais relat sensac percep gerais;Outros sintomas e sinais relativos às sensações e às percepções gerais
R45;R45   Sint e sinais relativos ao estado emocional;Sintomas e sinais relativos ao estado emocional
R46;R46   Sint e sinais relativos aparencia e comport;Sintomas e sinais relativos à aparência e ao comportamento
R47;R47   Disturbios da fala NCOP;Distúrbios da fala não classificados em outra parte
R48;R48   Dislexia e outr disfuncoes simbolicas NCOP;Dislexia e outras disfunções simbólicas, não classificadas em outra parte
R49;R49   Disturbios da voz;Distúrbios da voz
R50;R50   Febre origem desconhecida e outras origens;Febre de origem desconhecida e de outras origens
R51;R51   Cefaleia;Cefaléia
R52;R52   Dor NCOP;Dor não classificada em outra parte
R53;R53   Mal estar fadiga;Mal estar, fadiga
R54;R54   Senilidade;Senilidade
R55;R55   Sincope e colapso;Síncope e colapso
R56;R56   Convulsoes NCOP;Convulsões, não classificadas em outra parte
R57;R57   Choque NCOP;Choque não classificado em outra parte
R58;R58   Hemorragia NCOP;Hemorragia não classificada em outra parte
R59;R59   Aumento de volume dos ganglios linfaticos;Aumento de volume dos gânglios linfáticos
R60;R60   Edema NCOP;Edema não classificado em outra parte
R61;R61   Hiperidrose;Hiperidrose
R62;R62   Retardo do desenvolv fisiologico normal;Retardo do desenvolvimento fisiológico normal
R63;R63   Sint sinais relat ingestao alimentos liquid;Sintomas e sinais relativos à ingestão de alimentos e líquidos
R64;R64   Caquexia;Caquexia
R68;R68   Outr sint e sinais gerais;Outros sintomas e sinais gerais
R69;R69   Causas desconhecidas e NE de morbidade;Causas desconhecidas e não especificadas de morbidade
R70;R70   Veloc hemossedim elev outr anorm visc plasm;Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática
R71;R71   Anormalidade das hemacias;Anormalidade das hemácias
R72;R72   Anormalidade dos leucocitos NCOP;Anormalidade dos leucócitos não classificada em outra parte
R73;R73   Aumento da glicemia;Aumento da glicemia
R74;R74   Anormalidades dos niveis de enzimas sericas;Anormalidades dos níveis de enzimas séricas
R75;R75   Evidencia laboratorial do HIV;Evidência laboratorial do vírus da imunodeficiência humana [HIV]
R76;R76   Outr achados imunologicos anormais no soro;Outros achados imunológicos anormais no soro
R77;R77   Outr anormalidades das proteinas plasmaticas;Outras anormalidades das proteínas plasmáticas
R78;R78   Presenca drog outr subst norm n encontr sang;Presença de drogas e de outras substâncias normalmente não encontradas no sangue
R79;R79   Outr achados anormais exames quimicos sangue;Outros achados anormais de exames químicos do sangue
R80;R80   Proteinuria isolada;Proteinúria isolada
R81;R81   Glicosuria;Glicosúria
R82;R82   Outr achados anormais na urina;Outros achados anormais na urina
R83;R83   Achados anormais liquido cefalorraquidiano;Achados anormais no líquido cefalorraquidiano
R84;R84   Achados anormais mat prov org respirat torax;Achados anormais de material proveniente dos órgãos respiratórios e do tórax
R85;R85   Achados anorm mat prov org digest cav abdom;Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal
R86;R86   Achados anormais mat prov org genitais masc;Achados anormais de material proveniente dos órgãos genitais masculinos
R87;R87   Achados anormais mat prov org genitais femin;Achados anormais de material proveniente dos órgãos genitais femininos
R89;R89   Achados anorms mat prov outr org ap sist tec;Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos
R90;R90   Result anorm exam diagn imag sist nerv centr;Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central
R91;R91   Achados anorm exames diagn imagem do pulmao;Achados anormais, de exames para diagnóstico por imagem, do pulmão
R92;R92   Achados anorm exames diagn imagem da mama;Achados anormais, de exames para diagnóstico por imagem, da mama
R93;R93   Achados anorm exam diagn imag out estr corp;Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo
R94;R94   Resultados anormais de estudos de funcao;Resultados anormais de estudos de função
R95;R95   Sindr da morte subita na infancia;Síndrome da morte súbita na infância
R96;R96   Outr mortes subitas de causa desconhecida;Outras mortes súbitas de causa desconhecida
R98;R98   Morte s/assist;Morte sem assistência
R99;R99   Outr causas mal definidas e NE mortalidade;Outras causas mal definidas e as não especificadas de mortalidade
S00;S00   Traum superf da cabeca;Traumatismo superficial da cabeça
S01;S01   Ferim da cabeca;Ferimento da cabeça
S02;S02   Frat do cranio e dos ossos da face;Fratura do crânio e dos ossos da face
S03;S03   Luxacao entorse distensao artic lig cabeca;Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça
S04;S04   Traum dos nervos cranianos;Traumatismo dos nervos cranianos
S05;S05   Traum do olho e da orbita ocular;Traumatismo do olho e da órbita ocular
S06;S06   Traum intracraniano;Traumatismo intracraniano
S07;S07   Lesoes p/esmag da cabeca;Lesões por esmagamento da cabeça
S08;S08   Amput traum de parte da cabeca;Amputação traumática de parte da cabeça
S09;S09   Outr traum da cabeca e os NE;Outros traumatismos da cabeça e os não especificados
S10;S10   Traum superf do pescoco;Traumatismo superficial do pescoço
S11;S11   Ferim do pescoco;Ferimento do pescoço
S12;S12   Frat do pescoco;Fratura do pescoço
S13;S13   Luxacao entorse distensao artic lig pescoco;Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço
S14;S14   Traum nervos medula espinhal nivel cervical;Traumatismo de nervos e da medula espinhal ao nível cervical
S15;S15   Traum dos vasos sanguineos nivel do pescoco;Traumatismo dos vasos sangüíneos ao nível do pescoço
S16;S16   Traum de tendoes e de musculos do pescoco;Traumatismo de tendões e de músculos do pescoço
S17;S17   Lesoes p/esmag do pescoco;Lesões por esmagamento do pescoço
S18;S18   Amput traum ao nivel do pescoco;Amputação traumática ao nível do pescoço
S19;S19   Outr traum do pescoco e os NE;Outros traumatismos do pescoço e os não especificados
S20;S20   Traum superf do torax;Traumatismo superficial do tórax
S21;S21   Ferim do torax;Ferimento do tórax
S22;S22   Frat de costelas esterno e coluna toracica;Fratura de costela(s), esterno e coluna torácica
S23;S23   Luxacao entorse distensao artic lig do torax;Luxação, entorse e distensão de articulações e dos ligamentos do tórax
S24;S24   Traum nervos e medula espinhal nivel torax;Traumatismos de nervos e da medula espinhal ao nível do tórax
S25;S25   Traum de vasos sanguineos do torax;Traumatismo de vasos sangüíneos do tórax
S26;S26   Traum do coracao;Traumatismo do coração
S27;S27   Traum de outr orgaos intratoracicos e dos NE;Traumatismo de outros órgãos intratorácicos e dos não especificados
S28;S28   Lesao p/esmag torax amput traum parte torax;Lesão por esmagamento do tórax e amputação traumática de parte do tórax
S29;S29   Outr traum do torax e os NE;Outros traumatismos do tórax e os não especificados
S30;S30   Traum superf do abdome do dorso e da pelve;Traumatismo superficial do abdome, do dorso e da pelve
S31;S31   Ferim do abdome do dorso e da pelve;Ferimento do abdome, do dorso e da pelve
S32;S32   Frat da coluna lombar e da pelve;Fratura da coluna lombar e da pelve
S33;S33   Luxac entors dist artic lig col lombar pelve;Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve
S34;S34   Traum nerv med lombar niv abdome dorso pelve;Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve
S35;S35   Traum vasos sang nivel abdome dorso pelve;Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve
S36;S36   Traum de orgaos intra-abdominais;Traumatismo de órgãos intra-abdominais
S37;S37   Traum do aparelho urinario e orgaos pelvicos;Traumatismo do aparelho urinário e de órgãos pélvicos
S38;S38   Lesao p/esmag amput traum part abd dors pelv;Lesão por esmagamento e amputação traumática de parte do abdome, do dorso e da pelve
S39;S39   Outr traum e os NE do abdome dorso e pelve;Outros traumatismos e os não especificados do abdome, do dorso e da pelve
S40;S40   Traum superf do ombro e do braco;Traumatismo superficial do ombro e do braço
S41;S41   Ferim do ombro e do braco;Ferimento do ombro e do braço
S42;S42   Frat do ombro e do braco;Fratura do ombro e do braço
S43;S43   Luxacao entorse distens artic lig cint escap;Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular
S44;S44   Traum de nervos ao nivel do ombro e do braco;Traumatismo de nervos ao nível do ombro e do braço
S45;S45   Traum dos vasos sanguineos nivel ombro braco;Traumatismo dos vasos sangüíneos ao nível do ombro e do braço
S46;S46   Traum de tendao e musculo nivel ombro braco;Traumatismo de tendão e músculo ao nível do ombro e do braço
S47;S47   Lesao p/esmag do ombro e do braco;Lesão por esmagamento do ombro e do braço
S48;S48   Amput traum do ombro e do braco;Amputação traumática do ombro e do braço
S49;S49   Outr traum e os NE do ombro e do braco;Outros traumatismos e os não especificados do ombro e do braço
S50;S50   Traum superf do cotovelo e do antebraco;Traumatismo superficial do cotovelo e do antebraço
S51;S51   Ferim do antebraco;Ferimento do antebraço
S52;S52   Frat do antebraco;Fratura do antebraço
S53;S53   Luxacao entorse distensao artic lig cotovelo;Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo
S54;S54   Traum de nervos ao nivel do antebraco;Traumatismo de nervos ao nível do antebraço
S55;S55   Traum de vasos sanguineos ao nivel antebraco;Traumatismo de vasos sangüíneos ao nível do antebraço
S56;S56   Traum do musculo e tendao ao nivel antebraco;Traumatismo do músculo e tendão ao nível do antebraço
S57;S57   Lesao p/esmag do antebraco;Lesão por esmagamento do antebraço
S58;S58   Amput traum do cotovelo e do antebraco;Amputação traumática do cotovelo e do antebraço
S59;S59   Outr traum do antebraco e os NE;Outros traumatismos do antebraço e os não especificados
S60;S60   Traum superf do punho e da mao;Traumatismo superficial do punho e da mão
S61;S61   Ferim do punho e da mao;Ferimento do punho e da mão
S62;S62   Frat ao nivel do punho e da mao;Fratura ao nível do punho e da mão
S63;S63   Luxac entors distens artic lig niv punho mao;Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão
S64;S64   Traum de nervos ao nivel do punho e da mao;Traumatismo de nervos ao nível do punho e da mão
S65;S65   Traum de vasos sanguineos nivel punho e mao;Traumatismo de vasos sangüíneos ao nível do punho e da mão
S66;S66   Traum de musculo e tendao nivel punho e mao;Traumatismo de músculo e tendão ao nível do punho e da mão
S67;S67   Lesao p/esmag do punho e da mao;Lesão por esmagamento do punho e da mão
S68;S68   Amput traum ao nivel do punho e da mao;Amputação traumática ao nível do punho e da mão
S69;S69   Outr traum e os NE do punho e da mao;Outros traumatismos e os não especificados do punho e da mão
S70;S70   Traum superf do quadril e da coxa;Traumatismo superficial do quadril e da coxa
S71;S71   Ferim do quadril e da coxa;Ferimento do quadril e da coxa
S72;S72   Frat do femur;Fratura do fêmur
S73;S73   Luxacao entorse distensao artic lig quadril;Luxação, entorse e distensão da articulação e dos ligamentos do quadril
S74;S74   Traum de nervos ao nivel do quadril e coxa;Traumatismo de nervos ao nível do quadril e da coxa
S75;S75   Traum vasos sanguineos nivel quadril e coxa;Traumatismo de vasos sangüíneos ao nível do quadril e da coxa
S76;S76   Traum musculo e tendao nivel quadril e coxa;Traumatismo de músculo e de tendão ao nível do quadril e da coxa
S77;S77   Lesao p/esmag do quadril e da coxa;Lesão por esmagamento do quadril e da coxa
S78;S78   Amput traum do quadril e da coxa;Amputação traumática do quadril e da coxa
S79;S79   Outr traum e os NE do quadril e da coxa;Outros traumatismos e os não especificados do quadril e da coxa
S80;S80   Traum superf da perna;Traumatismo superficial da perna
S81;S81   Ferim da perna;Ferimento da perna
S82;S82   Frat da perna incl tornozelo;Fratura da perna, incluindo tornozelo
S83;S83   Luxacao entorse distensao art lig joelho;Luxação, entorse e distensão das articulações e dos ligamentos do joelho
S84;S84   Traum de nervos perifericos da perna;Traumatismo de nervos periféricos da perna
S85;S85   Traum de vasos sanguineos da perna;Traumatismo de vasos sangüíneos da perna
S86;S86   Traum de musculo e de tendao ao nivel perna;Traumatismos de músculo e de tendão ao nível da perna
S87;S87   Traum p/esmag da perna;Traumatismo por esmagamento da perna
S88;S88   Amput traum da perna;Amputação traumática da perna
S89;S89   Outr traum e os NE da perna;Outros traumatismos e os não especificados da perna
S90;S90   Traum superf do tornozelo e do pe;Traumatismo superficial do tornozelo e do pé
S91;S91   Ferim do tornozelo e do pe;Ferimentos do tornozelo e do pé
S92;S92   Frat do pe;Fratura do pé (exceto do tornozelo)
S93;S93   Luxac entors distens artic lig niv tornoz pe;Luxação, entorse e distensão das articulações e dos ligamentos ao nível do tornozelo e do pé
S94;S94   Traum dos nervos ao nivel do tornozelo e pe;Traumatismo dos nervos ao nível do tornozelo e do pé
S95;S95   Traum vasos sanguineos nivel tornozelo e pe;Traumatismo de vasos sangüíneos ao nível do tornozelo e do pé
S96;S96   Traum musculo e tendao nivel tornozelo e pe;Traumatismos do músculo e tendão ao nível do tornozelo e do pé
S97;S97   Lesao p/esmag do tornozelo e do pe;Lesão por esmagamento do tornozelo e do pé
S98;S98   Amput traum do tornozelo e do pe;Amputação traumática do tornozelo e do pé
S99;S99   Outr traum e os NE do tornozelo e do pe;Outros traumatismos e os não especificados do tornozelo e do pé
T00;T00   Traum superf envolv mult regioes corpo;Traumatismos superficiais envolvendo múltiplas regiões do corpo
T01;T01   Ferim envolv mult regioes do corpo;Ferimentos envolvendo múltiplas regiões do corpo
T02;T02   Frat envolv mult regioes do corpo;Fraturas envolvendo múltiplas regiões do corpo
T03;T03   Luxac entors distens envolv reg mult corpo;Luxações, entorses e distensões envolvendo regiões múltiplas do corpo
T04;T04   Traum p/esmag envolv mult regioes do corpo;Traumatismos por esmagamento envolvendo múltiplas regiões do corpo
T05;T05   Amput traum envolv mult regioes do corpo;Amputações traumáticas envolvendo múltiplas regiões do corpo
T06;T06   Outr traum envolv regioes mult do corpo NCOP;Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte
T07;T07   Traum mult NE;Traumatismos múltiplos não especificados
T08;T08   Frat da coluna nivel NE;Fratura da coluna, nível não especificado
T09;T09   Outr traum de coluna e tronco nivel NE;Outros traumatismos de coluna e tronco, nível não especificado
T10;T10   Frat do membro super nivel NE;Fratura do membro superior, nível não especificado
T11;T11   Outr traum de membro super nivel NE;Outros traumatismos de membro superior, nível não especificado
T12;T12   Frat do membro infer nivel NE;Fratura do membro inferior, nível não especificado
T13;T13   Outr traum de membro infer nivel NE;Outros traumatismos de membro inferior, nível não especificado
T14;T14   Traum de regiao NE do corpo;Traumatismo de região não especificada do corpo
T15;T15   Corpo estranho na parte externa do olho;Corpo estranho na parte externa do olho
T16;T16   Corpo estranho no ouvido;Corpo estranho no ouvido
T17;T17   Corpo estranho no trato respirat;Corpo estranho no trato respiratório
T18;T18   Corpo estranho no aparelho digestivo;Corpo estranho no aparelho digestivo
